Designator,Footprint,Quantity,Value,LCSC Part #,Robocraze,Value (in USD)
"C1, C2",402,2,10pF,C32949,,
"C12, C13, C14, C16, C25",402,5,0.1uF,C1525,,
"C15, C27, C28, C29",402,4,22uF,C105226,,
"C17, C18, C19, C8",402,4,1uF,C52923,,
C23,402,1,4.7uF,C23733,,
"C24, C26, C30, C31, C32, C6",402,6,10uF,C15525,,
"D1, D2, D3",402,3,LED,C30584803,,
IC1,HSFPAR004A,1,HSFPAR004A,C470800,,
J1,PinHeader_1x02_P2.54mm_Vertical_JST,1,Battery Connectors,,2.54mm pitch 2 pin JST Cable with Connector,0.73
"J2, J3",PinHeader_1x04_P2.54mm_Vertical_Female,1,Conn_01x04,,40x1 Female Berg Strip,0.1
J6,KH-TYPE-C-16P,1,USB Type-C Input,C709357,,
L1,805,1,1.5uH,C216155,,
Q1,SOT-23,1,SS8550,C727138,,
R1,402,1,220Ω,C25091,,
"R10, R12",402,2,1kΩ,C11702,,
R11,402,1,2kΩ,C4109,,
"R14, R21",402,2,100kΩ,C25741,,
R15,402,1,470kΩ,C427225,,
R16,402,1,150kΩ,C2909320,,
"R17, R24, R25, R30, R31, R32, R33, R34, R35, R36, R37",402,11,10kΩ,C25744,,
"R2, R3",402,2,5kΩ,C5948099,,
R20,402,1,100Ω,C25076,,
"R26, R27",402,2,22Ω,C25092,,
"R28, R29",402,2,5.1kΩ,C25905,,
"R5, R6, R8, R9",402,4,4.7kΩ,C25900,,
"S1, S2",SW_SKRPACE010,2,SKRPACE010,C139797,,
"S3, S4",Push Button,2,TS-1088-AR02016,C720477,,
SW1,SW_PCM12SMTR,1,PCM12SMTR,C221841,,
U1,SOT-23-3L_AOS,1,AO3401A,C15127,,
U10,VREG_TPS63070RNMR,1,TPS63070RNMR,C109322,,
U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TMP1075DSG,C2870250,,
U4,ESP32-S3FN8,1,ESP32-S3FN8,C2913196,,
U5,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,SMD3225,C5444549,,
U6,SOP-16_3.9x9.9mm_P1.27mm,1,HX711,C6705483,,
U9,SOT23-6,1,TP4057,C725791,,
J7,PinHeader_1x04_P2.54mm_Vertical_Male,1,,,40x1 Pin 2.54mm Pitch Male Berg Strip,0.056
Display1,OLED Display,1,,,0.96 Inch OLED Display Module SPI/I2C 4pin Blue Color,3.52
GPS1,GPS,1,,,Ublox Neo-6M GPS Module With EEPROM,2.195
B1,Li-ion Battery,1,Battery,,Witty Fox 3.7V 2000 mAh Li-ion GPS Cylindrical Battery,3.41
,,,,,,10.011
